Variable,Variable_Label,Values,Value_Labels
IGWHY_b_W144,To keep up with politics or political issues // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_b_W144,,2,Minor reason
IGWHY_b_W144,,3,Not a reason
IGWHY_b_W144,,99,Refused
IGWHY_c_W144,To keep up with sports or pop culture // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_c_W144,,2,Minor reason
IGWHY_c_W144,,3,Not a reason
IGWHY_c_W144,,99,Refused
IGWHY_d_W144,Because it’s entertaining // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_d_W144,,2,Minor reason
IGWHY_d_W144,,3,Not a reason
IGWHY_d_W144,,99,Refused
IGWHY_e_W144,To keep up with friends and family // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_e_W144,,2,Minor reason
IGWHY_e_W144,,3,Not a reason
IGWHY_e_W144,,99,Refused
IGWHY_f_W144,To connect with others who share your interests // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_f_W144,,2,Minor reason
IGWHY_f_W144,,3,Not a reason
IGWHY_f_W144,,99,Refused
IGWHY_g_W144,To look at product reviews or recommendations // How much is each of the following a reason you use Instagram?,1,Major reason
IGWHY_g_W144,,2,Minor reason
IGWHY_g_W144,,3,Not a reason
IGWHY_g_W144,,99,Refused
IGDEMOCRACY_W144,"Overall, do you think Instagram...",1,Is mostly good for American democracy
IGDEMOCRACY_W144,,2,Is mostly bad for American democracy
IGDEMOCRACY_W144,,3,Has no impact on American democracy
IGDEMOCRACY_W144,,99,Refused
IGSOURCE_a_W144,News outlets or journalists // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
IGSOURCE_a_W144,,2,"No, I don’t get news on Instagram from them"
IGSOURCE_a_W144,,99,Refused
IGSOURCE_b_W144,"Friends, family, and acquaintances // Do you ever get news from each of the following on Instagram?",1,"Yes, I get news on Instagram from them"
IGSOURCE_b_W144,,2,"No, I don’t get news on Instagram from them"
IGSOURCE_b_W144,,99,Refused
IGSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
IGSOURCE_c_W144,,2,"No, I don’t get news on Instagram from them"
IGSOURCE_c_W144,,99,Refused
IGSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
IGSOURCE_d_W144,,2,"No, I don’t get news on Instagram from them"
IGSOURCE_d_W144,,99,Refused
